Co,County Name,District,District Name,ce2019-20,p2024-25
60,Lyon,6983,West Lyon,952.3,919.8
61,Madison,1953,Earlham,574.1,574.1
61,Madison,3119,Interstate 35,848.2,789.6
61,Madison,7056,Winterset,1728.0,1712.4
62,Mahaska,4776,North Mahaska,488.7,487.3
62,Mahaska,5013,Oskaloosa,2272.7,2170.3
63,Marion,3375,Knoxville,1772.2,1784.9
63,Marion,4212,Melcher-Dallas,333.0,300.0
63,Marion,5166,Pella,2187.0,2151.4
63,Marion,5256,Pleasantville,669.0,631.7
63,Marion,6512,Twin Cedars,323.6,299.0
64,Marshall,1968,East Marshall,603.9,658.5
64,Marshall,4104,Marshalltown,5420.2,5160.9
64,Marshall,6985,West Marshall,822.2,692.3
65,Mills,2511,Glenwood,1931.5,1833.5
65,Mills,3978,East Mills,541.1,540.3
66,Mitchell,4995,Osage,902.4,895.9
66,Mitchell,5751,St Ansgar,575.1,525.4
67,Monona,4033,Maple Valley-Anthon Oto,600.8,525.4
67,Monona,6987,West Monona,633.7,566.2
67,Monona,7002,Whiting,189.1,176.3
68,Monroe,81,Albia,1151.1,1147.8
69,Montgomery,5463,Red Oak,1039.2,1011.1
69,Montgomery,6165,Stanton,170.0,158.5
69,Montgomery,6651,Villisca,290.2,270.6
70,Muscatine,4581,Muscatine,4811.8,4361.4
70,Muscatine,6975,West Liberty,1301.7,1345.9
70,Muscatine,7038,Wilton,849.9,827.4
71,O'Brien,2862,Hartley-Melvin-Sanborn,617.5,615.7
71,O'Brien,5949,Sheldon,1072.0,1068.9
71,O'Brien,6099,South O'Brien,606.1,581.1
72,Osceola,5994,Sibley-Ocheyedan,735.3,635.7
73,Page,1197,Clarinda,991.6,982.3
73,Page,2113,Essex,187.2,174.5
73,Page,5976,Shenandoah,1058.4,983.3
73,Page,6097,South Page,207.0,193.0
74,Palo Alto,2088,Emmetsburg,681.2,633.7
74,Palo Alto,2556,Graettinger-Terril,373.1,394.3
74,Palo Alto,5724,Ruthven-Ayrshire,225.0,209.8
74,Palo Alto,6921,West Bend-Mallard,289.5,269.9
75,Plymouth,63,Akron Westfield,577.4,649.6
75,Plymouth,2988,Hinton,529.1,550.3
75,Plymouth,3348,Kingsley-Pierson,458.7,455.9
75,Plymouth,3600,Le Mars,2208.1,2245.7
75,Plymouth,5486,Remsen-Union,319.7,289.0
76,Pocahontas,3537,Laurens-Marathon,276.0,257.4
76,Pocahontas,5283,Pocahontas Area,664.9,646.6
77,Polk,261,Ankeny,12255.8,13184.4
77,Polk,720,Bondurant-Farrar,2268.7,2679.8
77,Polk,1737,Des Moines Independent,32606.7,31616.2
77,Polk,3231,Johnston,7105.7,7297.4
77,Polk,4779,North Polk,1828.0,2124.6
77,Polk,5805,Saydel,1140.6,1136.3
77,Polk,6101,Southeast Polk,6992.2,7142.5
77,Polk,6579,Urbandale,3438.0,3464.5
77,Polk,6957,West Des Moines,8989.1,8993.9
78,Pottawattam,441,AHSTW,780.7,743.0
78,Pottawattam,1476,Council Bluffs,9122.1,8676.0
78,Pottawattam,3645,Lewis Central,2624.7,2686.7
78,Pottawattam,5510,Riverside,705.0,656.5
78,Pottawattam,6453,Treynor,623.7,631.7
78,Pottawattam,6460,Tri-Center,657.0,693.3
78,Pottawattam,6534,Underwood,690.0,719.1
79,Poweshiek,846,Brooklyn-Guernsey-Malcom,540.8,539.2
79,Poweshiek,2709,Grinnell-Newburg,1619.3,1539.5
79,Poweshiek,4437,Montezuma,485.5,442.0
80,Ringgold,1782,Diagonal,102.0,95.1
80,Ringgold,4527,Mount Ayr,607.0,530.4
81,Sac,5823,Schaller-Crestland,365.0,347.6
81,Sac,6741,East Sac County,795.9,729.0
82,Scott,621,Bettendorf,4171.0,4072.3
82,Scott,1611,Davenport,14930.5,13940.3
82,Scott,4784,North Scott,3029.6,2895.3
82,Scott,5250,Pleasant Valley,5128.4,5508.6
83,Shelby,2151,Exira-Elk Horn-,416.9,393.3
83,Shelby,2826,Harlan,1384.2,1301.2
84,Sioux,747,Boyden-Hull,588.6,526.4
84,Sioux,4149,MOC-Floyd Valley,1486.5,1546.5
84,Sioux,5607,Rock Valley,847.6,878.0
84,Sioux,6030,Sioux Center,1420.6,1594.2
84,Sioux,6990,West Sioux,877.9,864.1
85,Story,225,Ames,4477.4,4796.4
85,Story,472,Ballard,1639.3,1675.6
85,Story,1350,Collins-Maxwell,446.4,430.1
85,Story,1359,Colo-NESCO,512.0,510.5
85,Story,2466,Gilbert,1548.6,1613.0
85,Story,4617,Nevada,1488.7,1331.0
85,Story,5643,Roland-Story,1004.9,957.5
86,Tama,2682,GMG,259.2,241.7
86,Tama,4785,North Tama County,446.0,448.0
86,Tama,6098,South Tama County,1528.5,1477.0
87,Taylor,549,Bedford,499.0,528.4
87,Taylor,3609,Lenox,441.3,383.4
88,Union,1503,Creston,1470.7,1466.5
88,Union,1970,East Union,503.0,512.5
89,Van Buren,6592,Van Buren County,949.9,896.9
90,Wapello,657,Eddyville-Blakesburg-,869.6,847.2
90,Wapello,977,Cardinal,588.7,610.8
90,Wapello,5049,Ottumwa,4762.6,4834.2
91,Warren,981,Carlisle,1936.9,2020.3
91,Warren,3114,Indianola,3460.1,3647.2
91,Warren,4122,Martensdale-St Marys,516.2,513.5
91,Warren,4797,Norwalk,3136.4,3753.5
91,Warren,6094,Southeast Warren,533.8,550.3
92,Washington,2977,Highland,620.9,608.9
92,Washington,4271,Mid-Prairie,1276.3,1247.5
92,Washington,6768,Washington,1703.9,1699.1
93,Wayne,4505,Mormon Trail,229.7,214.1
93,Wayne,5895,Seymour,266.8,248.7
93,Wayne,6854,Wayne,589.0,573.1
94,Webster,2313,Fort Dodge,3668.4,3669.1
94,Webster,5325,Prairie Valley,568.5,527.4
94,Webster,6096,Southeast Webster Grand,536.5,502.6
95,Winnebago,873,North Iowa,445.2,418.2
95,Winnebago,2295,Forest City,1067.2,982.3
