DateTime,Scheduled flights,Tracked flights,Percent,,,,,,,
2021-12-03,82.00,74.00,90.2%,,,,,,,
2021-12-04,55.00,55.00,100.0%,,,,,,,
2021-12-05,63.00,62.00,98.4%,,,,,,,
2021-12-06,69.00,67.00,97.1%,,,,,,,
2021-12-07,60.00,54.00,90.0%,,,,,,,
2021-12-08,74.00,68.00,91.9%,,,,,,,
2021-12-09,84.00,81.00,96.4%,,,,,,,
2021-12-10,71.00,66.00,93.0%,,,,,,,
2021-12-11,54.00,51.00,94.4%,,,,,,,
2021-12-12,60.00,56.00,93.3%,,,,,,,
2021-12-13,81.00,76.00,93.8%,,,,,,,
2021-12-14,72.00,68.00,94.4%,,,,,,,
2021-12-15,58.00,51.00,87.9%,,,,,,,
2021-12-16,78.00,65.00,83.3%,,,,,,,
2021-12-17,71.00,67.00,94.4%,,,,,,,
2021-12-18,63.00,62.00,98.4%,,,,,,,
2021-12-19,66.00,63.00,95.5%,,,,,,,
2021-12-20,68.00,68.00,100.0%,,,,,,,
2021-12-21,67.00,64.00,95.5%,,,,,,,
2021-12-22,67.00,64.00,95.5%,,,,,,,
2021-12-23,71.00,68.00,95.8%,,,,,,,
2021-12-24,48.00,45.00,93.8%,,,,,,,
2021-12-25,32.00,31.00,96.9%,,,,,,,
2021-12-26,61.00,55.00,90.2%,,,,,,,
2021-12-27,68.00,67.00,98.5%,,,,,,,
2021-12-28,56.00,52.00,92.9%,,,,,,,
2021-12-29,63.00,54.00,85.7%,,,,,,,
2021-12-30,71.00,61.00,85.9%,,,,,,,
2021-12-31,53.00,47.00,88.7%,,,,,,,
2022-01-01,37.00,28.00,75.7%,,,,,,,
2022-01-02,65.00,54.00,83.1%,,,,,,,
2022-01-03,63.00,55.00,87.3%,,,,,,,
2022-01-04,58.00,51.00,87.9%,,,,,,,
2022-01-05,48.00,39.00,81.3%,,,,,,,
2022-01-06,64.00,59.00,92.2%,,,,,,,
2022-01-07,69.00,63.00,91.3%,,,,,,,
2022-01-08,48.00,44.00,91.7%,,,,,,,
2022-01-09,56.00,52.00,92.9%,,,,,,,
2022-01-10,56.00,53.00,94.6%,,,,,,,
2022-01-11,60.00,51.00,85.0%,,,,,,,
2022-01-12,57.00,55.00,96.5%,,,,,,,
2022-01-13,71.00,68.00,95.8%,,,,,,,
2022-01-14,58.00,52.00,89.7%,,,,,,,
2022-01-15,50.00,41.00,82.0%,,,,,,,
2022-01-16,53.00,48.00,90.6%,,,,,,,
2022-01-17,60.00,54.00,90.0%,,,,,,,
2022-01-18,55.00,54.00,98.2%,,,,,,,
2022-01-19,55.00,51.00,92.7%,,,,,,,
2022-01-20,75.00,71.00,94.7%,,,,,,,
2022-01-21,70.00,66.00,94.3%,,,,,,,
2022-01-22,48.00,43.00,89.6%,,,,,,,
2022-01-23,57.00,54.00,94.7%,,,,,,,
2022-01-24,66.00,64.00,97.0%,,,,,,,
2022-01-25,52.00,48.00,92.3%,,,,,,,
2022-01-26,59.00,56.00,94.9%,,,,,,,
2022-01-27,76.00,76.00,100.0%,,,,,,,
2022-01-28,70.00,66.00,94.3%,,,,,,,
2022-01-29,55.00,53.00,96.4%,,,,,,,
2022-01-30,56.00,56.00,100.0%,,,,,,,
2022-01-31,64.00,62.00,96.9%,,,,,,,
2022-02-01,55.00,53.00,96.4%,,,,,,,
2022-02-02,54.00,43.00,79.6%,,,,,,,
2022-02-03,79.00,65.00,82.3%,,,,,,,
2022-02-04,69.00,58.00,84.1%,,,,,,,
2022-02-05,52.00,44.00,84.6%,,,,,,,
2022-02-06,55.00,52.00,94.5%,,,,,,,
2022-02-07,69.00,65.00,94.2%,,,,,,,
2022-02-08,59.00,55.00,93.2%,,,,,,,
2022-02-09,57.00,53.00,93.0%,,,,,,,
2022-02-10,73.00,69.00,94.5%,,,,,,,
2022-02-11,69.00,66.00,95.7%,,,,,,,
2022-02-12,47.00,45.00,95.7%,,,,,,,
2022-02-13,54.00,50.00,92.6%,,,,,,,
2022-02-14,69.00,67.00,97.1%,,,,,,,
2022-02-15,61.00,59.00,96.7%,,,,,,,
2022-02-16,57.00,54.00,94.7%,,,,,,,
2022-02-17,74.00,68.00,91.9%,,,,,,,
2022-02-18,76.00,68.00,89.5%,,,,,,,
2022-02-19,56.00,54.00,96.4%,,,,,,,
2022-02-20,58.00,54.00,93.1%,,,,,,,
2022-02-21,70.00,65.00,92.9%,,,,,,,
2022-02-22,67.00,62.00,92.5%,,,,,,,
2022-02-23,68.00,56.00,82.4%,,,,,,,
2022-02-24,76.00,69.00,90.8%,,,,,,,
2022-02-25,78.00,72.00,92.3%,,,,,,,
2022-02-26,54.00,51.00,94.4%,,,,,,,
2022-02-27,64.00,60.00,93.8%,,,,,,,
2022-02-28,72.00,70.00,97.2%,,,,,,,
2022-03-01,65.00,65.00,100.0%,,,,,,,
2022-03-02,61.00,59.00,96.7%,,,,,,,
2022-03-03,72.00,68.00,94.4%,,,,,,,
2022-03-04,76.00,71.00,93.4%,,,,,,,
2022-03-05,56.00,56.00,100.0%,,,,,,,
2022-03-06,70.00,66.00,94.3%,,,,,,,
2022-03-07,61.00,58.00,95.1%,,,,,,,
2022-03-08,62.00,61.00,98.4%,,,,,,,
2022-03-09,66.00,62.00,93.9%,,,,,,,
2022-03-10,76.00,73.00,96.1%,,,,,,,
2022-03-11,80.00,73.00,91.3%,,,,,,,
2022-03-12,67.00,59.00,88.1%,,,,,,,
2022-03-13,67.00,65.00,97.0%,,,,,,,
2022-03-14,69.00,65.00,94.2%,,,,,,,
2022-03-15,66.00,65.00,98.5%,,,,,,,
2022-03-16,67.00,64.00,95.5%,,,,,,,
2022-03-17,70.00,68.00,97.1%,,,,,,,
2022-03-18,62.00,60.00,96.8%,,,,,,,
2022-03-19,62.00,62.00,100.0%,,,,,,,
2022-03-20,68.00,67.00,98.5%,,,,,,,
2022-03-21,64.00,63.00,98.4%,,,,,,,
2022-03-22,56.00,53.00,94.6%,,,,,,,
2022-03-23,61.00,61.00,100.0%,,,,,,,
