LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
CLT,"Saturday, January 1, 2022",9:59 PM,AA1629,Charlotte (CLT),American Airlines,A319 (N177XF),Landed 9:43 PM
STL,"Saturday, January 1, 2022",10:20 PM,WN1745,St. Louis (STL),Southwest Airlines,B738 (N8518R),Landed 10:28 PM
IAH,"Saturday, January 1, 2022",10:29 PM,UA6330,Houston (IAH),United Express,E75L (N88330),Canceled
ORD,"Saturday, January 1, 2022",11:12 PM,UA1802,Chicago (ORD),United Airlines,B737 (N24702),Canceled
DFW,"Saturday, January 1, 2022",11:24 PM,AA1371,Dallas (DFW),American Airlines,A319 (N701UW),Canceled
MIA,"Saturday, January 1, 2022",11:34 PM,AA3558,Miami (MIA),American Eagle,E75L (N246NN),Canceled
PHX,"Sunday, January 2, 2022",12:04 AM,AA568,Phoenix (PHX),American Airlines,A320 (N679AW),Canceled
OJC,"Sunday, January 2, 2022",7:55 AM,,Kansas City (OJC),Frontier,BE20 (N1496B),Landed 7:57 AM
ORD,"Sunday, January 2, 2022",9:45 AM,AA3513,Chicago (ORD),American Airlines,E145,Canceled
DFW,"Sunday, January 2, 2022",10:29 AM,AA3942,Dallas (DFW),American Eagle,E75L (N265NN),Landed 1:22 PM
AUS,"Sunday, January 2, 2022",10:55 AM,G4803,Austin (AUS),Allegiant Air,A320 (N237NV),Landed 11:46 AM
TEX,"Sunday, January 2, 2022",11:10 AM,,Telluride (TEX),Frontier,SF50 (N682H),Landed 11:32 AM
ATL,"Sunday, January 2, 2022",11:19 AM,DL4917,Atlanta (ATL),Delta Connection,CRJ9 (N310PQ),Landed 12:48 PM
GJT,"Sunday, January 2, 2022",11:20 AM,UA2927,Grand Junction (GJT),United Express,CRJ2 (N963SW),Landed 1:11 PM
BNA,"Sunday, January 2, 2022",11:29 AM,G4379,Nashville (BNA),Allegiant Air,A320 (N244NV),Landed 11:18 AM
MSP,"Sunday, January 2, 2022",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N252SY),Landed 11:53 AM
CTH,"Sunday, January 2, 2022",12:18 PM,,Coatesville (CTH),Frontier,H25B,Canceled
LGA,"Sunday, January 2, 2022",12:38 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N349PQ),Landed 12:12 PM
FCM,"Sunday, January 2, 2022",12:41 PM,JL953,Minneapolis (FCM),Jet Linx Aviation,CN7,Unknown
DEN,"Sunday, January 2, 2022",12:53 PM,UA5254,Denver (DEN),United Airlines,CRJ,Canceled
ASE,"Sunday, January 2, 2022",1:06 PM,DPJ26,Aspen (ASE),Delta Private Jets,CL60 (N226MY),Landed 3:18 PM
CLT,"Sunday, January 2, 2022",1:15 PM,AA1695,Charlotte (CLT),American Airlines,A319 (N710UW),Landed 12:51 PM
DTW,"Sunday, January 2, 2022",1:34 PM,DL4722,Detroit (DTW),Delta Connection,CRJ9 (N932XJ),Landed 1:42 PM
PHX,"Sunday, January 2, 2022",1:45 PM,WN714,Phoenix (PHX),Southwest Airlines,B738 (N8517F),Landed 1:28 PM
PSP,"Sunday, January 2, 2022",1:47 PM,G4802,Palm Springs (PSP),Allegiant Air,A320 (N257NV),Landed 1:51 PM
BIL,"Sunday, January 2, 2022",2:01 PM,,Billings (BIL),Frontier,P180 (N163LF),Landed 2:24 PM
LAS,"Sunday, January 2, 2022",2:12 PM,G4834,Las Vegas (LAS),Allegiant Air,A320 (N248NV),Landed 2:05 PM
ORD,"Sunday, January 2, 2022",2:13 PM,UA6100,Chicago (ORD),United Express,E75L (N83329),Landed 3:52 PM
DFW,"Sunday, January 2, 2022",2:13 PM,AA560,Dallas (DFW),American Airlines,A319 (N747UW),Landed 2:57 PM
PHX,"Sunday, January 2, 2022",2:20 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N750UW),Landed 2:11 PM
IAH,"Sunday, January 2, 2022",2:22 PM,UA6188,Houston (IAH),United Express,E75L (N85320),Landed 2:05 PM
ORD,"Sunday, January 2, 2022",2:30 PM,AA4032,Chicago (ORD),American Eagle,E145 (N663AR),Landed 2:02 PM
LAX,"Sunday, January 2, 2022",2:57 PM,SY8652,Los Angeles (LAX),Sun Country Airlines,B738 (N830SY),Landed 2:45 PM
CGF,"Sunday, January 2, 2022",3:29 PM,,Cleveland (CGF),Frontier,(N481JB),Landed 4:20 PM
ATL,"Sunday, January 2, 2022",4:06 PM,DL2079,Atlanta (ATL),Delta Air Lines,A319 (N365NB),Landed 3:58 PM
SDF,"Sunday, January 2, 2022",4:09 PM,5X514,Louisville (SDF),UPS,B763 (N343UP),Landed 3:48 PM
LAS,"Sunday, January 2, 2022",4:14 PM,F91958,Las Vegas (LAS),Frontier,A20N (N326FR),Landed 4:04 PM
HOU,"Sunday, January 2, 2022",4:38 PM,G4817,Houston (HOU),Allegiant Air,A320 (N237NV),Landed 5:50 PM
TOL,"Sunday, January 2, 2022",4:44 PM,,Toledo (TOL),Frontier,COL4 (N400DR),Landed 4:24 PM
MSP,"Sunday, January 2, 2022",4:54 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N907XJ),Landed 4:39 PM
FLL,"Sunday, January 2, 2022",5:03 PM,1I324,Fort Lauderdale (FLL),NetJets,C68A (N650QS),Landed 10:04 PM
ORD,"Sunday, January 2, 2022",5:04 PM,AA3061,Chicago (ORD),American Airlines,CR7,Canceled
SLC,"Sunday, January 2, 2022",5:11 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N259SY),Landed 5:04 PM
ORD,"Sunday, January 2, 2022",5:13 PM,UA4190,Chicago (ORD),United Express,CRJ7 (N552GJ),Landed 5:20 PM
LAS,"Sunday, January 2, 2022",5:40 PM,WN2562,Las Vegas (LAS),Southwest Airlines,B737 (N253WN),Canceled
DCA,"Sunday, January 2, 2022",5:48 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N588NN),Landed 8:11 PM
PWK,"Sunday, January 2, 2022",5:51 PM,1I776,Chicago (PWK),NetJets,CL3,Canceled
DEN,"Sunday, January 2, 2022",6:30 PM,WN497,Denver (DEN),Southwest Airlines,B737 (N900WN),Landed 5:18 PM
DFW,"Sunday, January 2, 2022",6:39 PM,AA5802,Dallas (DFW),American Eagle,CRJ9 (N925FJ),Landed 6:51 PM
MEM,"Sunday, January 2, 2022",6:42 PM,FX718,Memphis (MEM),FedEx,A306 (N668FE),Landed 10:37 PM
DEN,"Sunday, January 2, 2022",7:14 PM,F9470,Denver (DEN),Frontier,A20N (N323FR),Landed 8:30 PM
BZN,"Sunday, January 2, 2022",7:50 PM,1I208,Bozeman (BZN),NetJets,CL60 (N208QS),Landed 7:50 PM
DEN,"Sunday, January 2, 2022",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N461UA),Landed 9:12 PM
TRM,"Sunday, January 2, 2022",8:28 PM,,Thermal (TRM),Frontier,PC12 (N34MJ),Landed 8:41 PM
LGA,"Sunday, January 2, 2022",8:40 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N902XJ),Landed 12:12 AM
MSP,"Sunday, January 2, 2022",8:59 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ7 (N371CA),Landed 8:34 PM
PGD,"Sunday, January 2, 2022",9:16 PM,G4819,Punta Gorda (PGD),Allegiant Air,A320 (N257NV),Landed 9:36 PM
SRQ,"Sunday, January 2, 2022",9:29 PM,G4853,Sarasota (SRQ),Allegiant Air,A320 (N248NV),Landed 10:05 PM
DCA,"Sunday, January 2, 2022",9:52 PM,AA5632,Washington (DCA),American Eagle,CRJ9 (N611NN),Canceled
DTW,"Sunday, January 2, 2022",9:58 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N601LR),Landed 12:20 AM
IAH,"Sunday, January 2, 2022",10:29 PM,UA6330,Houston (IAH),United Express,E75L (N85320),Canceled
ATL,"Sunday, January 2, 2022",10:31 PM,DL5104,Atlanta (ATL),Delta Connection,CRJ9 (N906XJ),Landed 10:11 PM
STL,"Sunday, January 2, 2022",10:40 PM,WN1198,St. Louis (STL),Southwest Airlines,B38M (N8721J),Landed 3:45 AM
ORD,"Sunday, January 2, 2022",11:12 PM,UA1802,Chicago (ORD),United Airlines,B738 (N16234),Landed 11:02 PM
DFW,"Sunday, January 2, 2022",11:24 PM,AA1371,Dallas (DFW),American Airlines,A319 (N755US),Landed 1:05 AM
MIA,"Sunday, January 2, 2022",11:34 PM,AA3558,Miami (MIA),American Eagle,E75L (N228NN),Canceled
SFB,"Sunday, January 2, 2022",11:42 PM,G4841,Orlando (SFB),Allegiant Air,A320 (N237NV),Landed 1:22 AM
LAX,"Sunday, January 2, 2022",11:56 PM,SY8664,Los Angeles (LAX),Sun Country Airlines,B738 (N830SY),Landed 11:51 PM
CLT,"Monday, January 3, 2022",12:01 AM,AA1283,Charlotte (CLT),American Airlines,A319 (N748UW),Landed 11:36 PM
CLT,"Monday, January 3, 2022",12:01 AM,AA1283,Charlotte (CLT),American Airlines,A319 (N748UW),Landed 11:36 PM
CLT,"Monday, January 3, 2022",12:01 AM,AA1283,Charlotte (CLT),American Airlines,A319 (N748UW),Landed 11:36 PM
CLT,"Monday, January 3, 2022",12:01 AM,AA1283,Charlotte (CLT),American Airlines,A319 (N748UW),Landed 11:36 PM
DFW,"Monday, January 3, 2022",10:29 AM,AA3942,Dallas (DFW),American Eagle,E75L (N259NN),Landed 10:08 AM
ATL,"Monday, January 3, 2022",11:19 AM,DL4917,Atlanta (ATL),Delta Connection,CRJ9 (N929XJ),Canceled
MKC,"Monday, January 3, 2022",11:42 AM,,Kansas City (MKC),Frontier,B350 (N412CB),Landed 11:42 AM
MSP,"Monday, January 3, 2022",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N264SY),Landed 1:16 PM
PDX,"Monday, January 3, 2022",11:54 AM,1I808,Portland (PDX),NetJets,C700 (N808QS),Landed 11:40 AM
PIE,"Monday, January 3, 2022",12:07 PM,G4809,St. Petersburg (PIE),Allegiant Air,A320 (N248NV),Landed 12:09 PM
LGA,"Monday, January 3, 2022",12:38 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N904XJ),Landed 1:09 PM
SNA,"Monday, January 3, 2022",12:43 PM,,Santa Ana (SNA),Frontier,GLF4,Canceled
MCO,"Monday, January 3, 2022",12:45 PM,CNS117,Orlando (MCO),PlaneSense,PC24 (N125AF),Landed 12:35 PM
DEN,"Monday, January 3, 2022",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N903SW),Landed 12:29 PM
CLT,"Monday, January 3, 2022",1:15 PM,AA1695,Charlotte (CLT),American Airlines,A319 (N753US),Landed 12:52 PM
DTW,"Monday, January 3, 2022",1:34 PM,DL4722,Detroit (DTW),Delta Connection,CRJ9 (N932XJ),Landed 1:36 PM
PHX,"Monday, January 3, 2022",1:45 PM,WN714,Phoenix (PHX),Southwest Airlines,B738 (N8681M),Landed 1:27 PM
AZA,"Monday, January 3, 2022",1:54 PM,G4814,Phoenix (AZA),Allegiant Air,A320 (N237NV),Landed 2:07 PM
LAX,"Monday, January 3, 2022",2:10 PM,G4821,Los Angeles (LAX),Allegiant Air,A320 (N257NV),Canceled
DFW,"Monday, January 3, 2022",2:13 PM,AA560,Dallas (DFW),American Airlines,A319 (N708UW),Landed 2:57 PM
ORD,"Monday, January 3, 2022",2:13 PM,UA6100,Chicago (ORD),United Express,E75L (N87353),Landed 1:53 PM
PHX,"Monday, January 3, 2022",2:20 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N749US),Landed 2:22 PM
ORD,"Monday, January 3, 2022",2:30 PM,AA4032,Chicago (ORD),American Eagle,E145 (N613AE),Landed 2:03 PM
IAH,"Monday, January 3, 2022",2:37 PM,UA6188,Houston (IAH),United Express,E75L (N80348),Landed 2:43 PM
EWK,"Monday, January 3, 2022",2:42 PM,,Newton (EWK),Frontier,(N918DD),Landed 2:25 PM
MCO,"Monday, January 3, 2022",3:52 PM,F91067,Orlando (MCO),Frontier,A20N (N329FR),Landed 3:52 PM
ATL,"Monday, January 3, 2022",4:06 PM,DL2079,Atlanta (ATL),Delta Air Lines,A319 (N344NB),Landed 4:07 PM
DEN,"Monday, January 3, 2022",4:16 PM,UA1279,Denver (DEN),United Airlines,A320 (N463UA),Landed 3:54 PM
PWK,"Monday, January 3, 2022",4:24 PM,1I515,Chicago (PWK),NetJets,C68A (N515QS),Landed 3:39 PM
MSP,"Monday, January 3, 2022",4:54 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N293PQ),Landed 6:29 PM
ORD,"Monday, January 3, 2022",5:04 PM,AA3061,Chicago (ORD),American Eagle,CRJ7 (N727SK),Landed 4:36 PM
SLC,"Monday, January 3, 2022",5:11 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N244SY),Landed 5:18 PM
MHT,"Monday, January 3, 2022",5:15 PM,AA9971,Manchester (MHT),American Eagle,CRJ9 (N587NN),Landed 7:11 PM
LAS,"Monday, January 3, 2022",5:40 PM,WN2562,Las Vegas (LAS),Southwest Airlines,B737 (N445WN),Landed 6:10 PM
DCA,"Monday, January 3, 2022",5:46 PM,AA5278,Washington (DCA),American Airlines,CR9,Canceled
SUS,"Monday, January 3, 2022",6:28 PM,,St. Louis (SUS),Frontier,M20P (N1997Y),Landed 6:13 PM
DEN,"Monday, January 3, 2022",6:30 PM,WN497,Denver (DEN),Southwest Airlines,B737 (N222WN),Landed 6:40 PM
DFW,"Monday, January 3, 2022",6:39 PM,AA5802,Dallas (DFW),American Eagle,CRJ9 (N921FJ),Canceled
ECP,"Monday, January 3, 2022",7:12 PM,,Panama City (ECP),Frontier,BE20 (N648DD),Landed 6:58 PM
DEN,"Monday, January 3, 2022",8:18 PM,UA465,Denver (DEN),United Airlines,A320 (N464UA),Landed 8:40 PM
LGA,"Monday, January 3, 2022",8:40 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N491PX),Landed 8:55 PM
MSP,"Monday, January 3, 2022",8:59 PM,DL5503,Minneapolis (MSP),Delta Connection,CRJ7 (N668CA),Landed 9:11 PM
DCA,"Monday, January 3, 2022",9:52 PM,AA5632,Washington (DCA),American Eagle,CRJ9 (N587NN),Canceled
PGD,"Monday, January 3, 2022",9:55 PM,G4819,Punta Gorda (PGD),Allegiant Air,A320 (N257NV),Landed 9:50 PM
DTW,"Monday, January 3, 2022",9:58 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N928XJ),Landed 10:00 PM
IAH,"Monday, January 3, 2022",10:29 PM,UA6330,Houston (IAH),United Express,E75L (N88330),Canceled
ATL,"Monday, January 3, 2022",10:31 PM,DL5104,Atlanta (ATL),Delta Connection,CRJ9 (N478PX),Landed 10:20 PM
FLL,"Monday, January 3, 2022",10:38 PM,G4857,Fort Lauderdale (FLL),Allegiant Air,A320 (N237NV),Landed 10:26 PM
STL,"Monday, January 3, 2022",10:40 PM,WN1198,St. Louis (STL),Southwest Airlines,B738 (N8689C),Landed 11:40 PM
ORD,"Monday, January 3, 2022",11:12 PM,UA1802,Chicago (ORD),United Airlines,B738 (N37293),Landed 10:57 PM
DFW,"Monday, January 3, 2022",11:24 PM,AA1371,Dallas (DFW),American Airlines,A319 (N825AW),Landed 11:43 PM
MIA,"Monday, January 3, 2022",11:34 PM,AA3558,Miami (MIA),American Eagle,E75L (N240NN),Landed 11:37 PM
SFB,"Monday, January 3, 2022",11:38 PM,G4866,Orlando (SFB),Allegiant Air,A320 (N248NV),Landed 11:38 PM
CLT,"Tuesday, January 4, 2022",12:01 AM,AA1283,Charlotte (CLT),American Airlines,A319 (N838AW),Landed 11:35 PM
PHX,"Tuesday, January 4, 2022",12:04 AM,AA568,Phoenix (PHX),American Airlines,A320 (N119US),Landed 11:45 PM
AFW,"Tuesday, January 4, 2022",2:11 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N929AZ),Landed 2:10 AM
JEF,"Tuesday, January 4, 2022",5:57 AM,,Jefferson City (JEF),Frontier,BE58 (N3281K),Landed 6:23 AM
CID,"Tuesday, January 4, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N336UP),Landed 6:34 AM
MEM,"Tuesday, January 4, 2022",6:22 AM,FX1500,Memphis (MEM),FedEx,A306 (N673FE),Landed 7:20 AM
ORD,"Tuesday, January 4, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N145SY),Landed 10:37 AM
ATL,"Tuesday, January 4, 2022",11:19 AM,DL4917,Atlanta (ATL),Delta Connection,CRJ9 (N297PQ),Landed 11:10 AM
MSP,"Tuesday, January 4, 2022",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N253SY),Landed 11:40 AM
DFW,"Tuesday, January 4, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N778SK),Landed 12:00 PM
DEN,"Tuesday, January 4, 2022",12:33 PM,F9470,Denver (DEN),Frontier,A320 (N238FR),Landed 12:17 PM
LGA,"Tuesday, January 4, 2022",12:38 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N606LR),Landed 12:15 PM
CLT,"Tuesday, January 4, 2022",1:12 PM,AA3955,Charlotte (CLT),American Eagle,E75L (N252NN),Landed 12:49 PM
DTW,"Tuesday, January 4, 2022",1:34 PM,DL4722,Detroit (DTW),Delta Connection,CRJ9 (N299PQ),Landed 1:16 PM
DEN,"Tuesday, January 4, 2022",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N903WN),Landed 2:18 PM
PHX,"Tuesday, January 4, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N837AW),Landed 2:22 PM
VNY,"Tuesday, January 4, 2022",2:23 PM,,Van Nuys (VNY),Frontier,LJ40 (N605BX),Landed 3:03 PM
ORD,"Tuesday, January 4, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N752EV),Landed 2:14 PM
IAH,"Tuesday, January 4, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N85379),Landed 4:04 PM
LAS,"Tuesday, January 4, 2022",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N296WN),Landed 3:00 PM
CLT,"Tuesday, January 4, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N564NN),Canceled
ORD,"Tuesday, January 4, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N146SY),Landed 3:18 PM
ATL,"Tuesday, January 4, 2022",4:06 PM,DL2079,Atlanta (ATL),Delta Air Lines,A319 (N315NB),Landed 3:54 PM
DEN,"Tuesday, January 4, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N912EV),Landed 4:07 PM
CWA,"Tuesday, January 4, 2022",4:40 PM,,Wausau (CWA),Frontier,S22T (N72AD),Landed 4:55 PM
PNS,"Tuesday, January 4, 2022",4:43 PM,,Pensacola (PNS),Frontier,(N9EE),Landed 5:22 PM
MSP,"Tuesday, January 4, 2022",4:54 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N582CA),Landed 9:09 PM
SLC,"Tuesday, January 4, 2022",5:11 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N261SY),Landed 4:58 PM
DCA,"Tuesday, January 4, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75S (N121HQ),Landed 7:20 PM
IAD,"Tuesday, January 4, 2022",6:30 PM,1I798,Washington (IAD),NetJets,CL35 (N798QS),Landed 5:52 PM
ORD,"Tuesday, January 4, 2022",6:46 PM,AA4146,Chicago (ORD),American Eagle,E170 (N761RW),Landed 6:19 PM
MEM,"Tuesday, January 4, 2022",6:56 PM,FX718,Memphis (MEM),FedEx,A306 (N652FE),Landed 7:10 PM
DEN,"Tuesday, January 4, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N66831),Landed 9:05 PM
LGA,"Tuesday, January 4, 2022",8:40 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N930XJ),Landed 8:28 PM
MSP,"Tuesday, January 4, 2022",8:59 PM,DL5503,Minneapolis (MSP),Delta Connection,CRJ9 (N538CA),Landed 9:02 PM
ORD,"Tuesday, January 4, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N78524),Landed 10:04 PM
DTW,"Tuesday, January 4, 2022",9:58 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N331CA),Landed 10:43 PM
DCA,"Tuesday, January 4, 2022",10:00 PM,AA4770,Washington (DCA),American Eagle,E75L (N427YX),Landed 11:23 PM
STL,"Tuesday, January 4, 2022",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8508W),Landed 11:02 PM
ATL,"Tuesday, January 4, 2022",10:31 PM,DL5104,Atlanta (ATL),Delta Connection,CRJ9 (N907XJ),Landed 10:49 PM
IAH,"Tuesday, January 4, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N85320),Landed 10:36 PM
DFW,"Tuesday, January 4, 2022",11:42 PM,AA1371,Dallas (DFW),American Airlines,A320 (N601AW),Landed 11:21 PM
PHX,"Tuesday, January 4, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N647AW),Landed 11:27 PM
MIA,"Tuesday, January 4, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N203NN),Landed 11:54 PM
AFW,"Wednesday, January 5, 2022",1:43 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Unknown
CID,"Wednesday, January 5, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N344UP),Landed 7:06 AM
SUS,"Wednesday, January 5, 2022",6:57 AM,EJM163,St. Louis (SUS),Executive Jet Management,C680 (N163R),Landed 6:50 AM
PDX,"Wednesday, January 5, 2022",9:45 AM,1I776,Portland (PDX),NetJets,CL35 (N776QS),Landed 9:22 AM
ORD,"Wednesday, January 5, 2022",10:44 AM,UA5323,Chicago (ORD),United Express,E75L (N117SY),Landed 11:01 AM
ATL,"Wednesday, January 5, 2022",11:20 AM,DL4698,Atlanta (ATL),Delta Connection,CRJ9 (N316PQ),Landed 11:25 AM
MSP,"Wednesday, January 5, 2022",11:39 AM,DL3918,Minneapolis (MSP),Delta Connection,CRJ9 (N831SK),Landed 5:26 PM
DFW,"Wednesday, January 5, 2022",12:12 PM,AA3123,Dallas (DFW),American Eagle,CRJ7 (N748EV),Landed 11:50 AM
DEN,"Wednesday, January 5, 2022",12:43 PM,UA5254,Denver (DEN),United Express,CRJ2 (N431SW),Canceled
SCF,"Wednesday, January 5, 2022",12:49 PM,,Scottsdale (SCF),Frontier,C700 (N233CL),Landed 1:28 PM
DEN,"Wednesday, January 5, 2022",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N219WN),Landed 2:35 PM
PHX,"Wednesday, January 5, 2022",2:22 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N814AW),Landed 2:16 PM
ORD,"Wednesday, January 5, 2022",2:39 PM,AA3240,Chicago (ORD),American Eagle,CRJ7 (N374CA),Landed 2:31 PM
IAH,"Wednesday, January 5, 2022",2:47 PM,UA6188,Houston (IAH),United Express,E75L (N89313),Landed 2:48 PM
LAS,"Wednesday, January 5, 2022",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N556WN),Landed 2:51 PM
CLT,"Wednesday, January 5, 2022",3:18 PM,AA5679,Charlotte (CLT),American Eagle,CRJ9 (N601EN),Landed 3:22 PM
ORD,"Wednesday, January 5, 2022",3:28 PM,UA5508,Chicago (ORD),United Express,E75L (N211SY),Landed 3:13 PM
DEN,"Wednesday, January 5, 2022",4:21 PM,UA4763,Denver (DEN),United Express,CRJ2 (N904EV),Canceled
DFW,"Wednesday, January 5, 2022",4:26 PM,AA560,Dallas (DFW),American Airlines,A319 (N771XF),Landed 4:02 PM
DTW,"Wednesday, January 5, 2022",5:00 PM,DL4760,Detroit (DTW),Delta Connection,CRJ9 (N186PQ),Landed 4:58 PM
DCA,"Wednesday, January 5, 2022",5:30 PM,AA4914,Washington (DCA),American Eagle,E75L (N413YX),Canceled
ATL,"Wednesday, January 5, 2022",5:34 PM,DL2537,Atlanta (ATL),Delta Air Lines,A320 (N319US),Landed 5:22 PM
MCI,"Wednesday, January 5, 2022",5:34 PM,WN8513,Kansas City (MCI),Southwest Airlines,B738 (N8560Z),Landed 5:38 PM
MEM,"Wednesday, January 5, 2022",6:23 PM,FX718,Memphis (MEM),FedEx,A306 (N749FD),Landed 6:59 PM
ORD,"Wednesday, January 5, 2022",6:46 PM,AA4146,Chicago (ORD),American Eagle,E170 (N760MQ),Landed 6:54 PM
DEN,"Wednesday, January 5, 2022",8:33 PM,UA465,Denver (DEN),United Airlines,B739 (N69816),Landed 9:23 PM
SLC,"Wednesday, January 5, 2022",9:00 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N254SY),Landed 8:57 PM
MSP,"Wednesday, January 5, 2022",9:15 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N166PQ),Landed 9:20 PM
ORD,"Wednesday, January 5, 2022",9:55 PM,UA1802,Chicago (ORD),United Airlines,B738 (N73256),Landed 10:25 PM
DCA,"Wednesday, January 5, 2022",10:00 PM,AA4770,Washington (DCA),American Airlines,E75,Canceled
STL,"Wednesday, January 5, 2022",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8560Z),Canceled
DTW,"Wednesday, January 5, 2022",10:18 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N932XJ),Landed 10:20 PM
LGA,"Wednesday, January 5, 2022",10:20 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N916XJ),Landed 10:08 PM
ATL,"Wednesday, January 5, 2022",10:39 PM,DL4680,Atlanta (ATL),Delta Connection,CRJ9 (N316PQ),Landed 10:23 PM
IAH,"Wednesday, January 5, 2022",10:39 PM,UA6330,Houston (IAH),United Express,E75L (N84307),Canceled
AGS,"Wednesday, January 5, 2022",11:35 PM,RAX131,Augusta (AGS),Royal Air Freight,LJ35 (N417BA),Landed 11:25 PM
PHX,"Wednesday, January 5, 2022",11:56 PM,AA568,Phoenix (PHX),American Airlines,A320 (N660AW),Landed 11:47 PM
DFW,"Wednesday, January 5, 2022",11:59 PM,AA1371,Dallas (DFW),American Airlines,A320 (N673AW),Landed 12:29 AM
MIA,"Thursday, January 6, 2022",12:09 AM,AA3558,Miami (MIA),American Eagle,E75L (N258NN),Landed 11:53 PM
CLT,"Thursday, January 6, 2022",12:20 AM,AA825,Charlotte (CLT),American Airlines,A319 (N740UW),Landed 11:50 PM
TCL,"Thursday, January 6, 2022",1:45 AM,WQ9456,Tuscaloosa (TCL),iAero Airways,B734 (N458UW),Landed 1:35 AM
AFW,"Thursday, January 6, 2022",2:11 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N929AZ),Landed 2:12 AM
MEM,"Thursday, January 6, 2022",5:41 AM,FX1500,Memphis (MEM),FedEx,A306 (N674FE),Landed 6:15 AM
CID,"Thursday, January 6, 2022",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N374UP),Landed 6:25 AM
EAU,"Thursday, January 6, 2022",7:30 AM,,Eau Claire (EAU),Frontier,E135 (N548M),Landed 8:01 AM
CVG,"Thursday, January 6, 2022",7:40 AM,G49202,Cincinnati (CVG),Allegiant Air,A320 (N298NV),Landed 8:22 AM
BNA,"Thursday, January 6, 2022",8:54 AM,G4571,Nashville (BNA),Allegiant Air,A320 (N241NV),Landed 8:26 AM
DFW,"Thursday, January 6, 2022",9:01 AM,AA3953,Dallas (DFW),American Eagle,E75L (N248NN),Landed 8:54 AM
ORD,"Thursday, January 6, 2022",9:46 AM,AA3259,Chicago (ORD),SkyWest Airlines,CRJ7 (N708EV),Landed 9:31 AM
